"","date","large","small"
"1",2002-01-01,0.155656432614047,0.147784769535065
"2",2002-01-09,NA,NA
"3",2002-01-17,NA,NA
"4",2002-01-25,NA,NA
"5",2002-02-02,0.171640489890118,NA
"6",2002-02-10,0.161377566093105,NA
"7",2002-02-18,0.123349564370289,0.102710633228223
"8",2002-02-26,0.119859264640928,0.10332286854585
"9",2002-03-06,0.136349792733337,0.137155210971832
"10",2002-03-14,0.153065141031726,0.139114117870728
"11",2002-03-22,0.122937804354089,NA
"12",2002-03-30,0.128669349683656,0.118178501725197
"13",2002-04-07,0.106960016199284,0.0986872240900993
"14",2002-04-15,0.133689176774662,0.106652824829022
"15",2002-04-23,0.119386866945645,NA
"16",2002-05-01,0.114772041301125,0.100899843499064
"17",2002-05-09,0.123646676695595,0.110371553649505
"18",2002-05-17,0.116950416898394,0.113629161069791
"19",2002-05-25,0.11667089825952,0.0895903321603934
"20",2002-06-02,0.149172302455671,0.067738451063633
"21",2002-06-10,0.205040119484895,0.207053360839685
"22",2002-06-18,0.166086552595651,0.145192017157873
"23",2002-06-26,0.171673727765058,0.133607755104701
"24",2002-07-04,0.132367461919785,NA
"25",2002-07-12,0.145061576945914,0.130937599887451
"26",2002-07-20,0.133512414569128,0.12875826160113
"27",2002-07-28,0.183887490339703,0.164613199730714
"28",2002-08-05,0.159333092677924,0.140014154215654
"29",2002-08-13,0.136733212641307,NA
"30",2002-08-21,0.207526224975785,NA
"31",2002-08-29,0.224794442268243,0.148633638396859
"32",2002-09-06,0.2152377349428,0.223023906350136
"33",2002-09-14,0.141235149823702,0.147375196218491
"34",2002-09-22,0.164183600570064,NA
"35",2002-09-30,0.128313075881321,0.121834855526686
"36",2002-10-08,0.122955528837917,0.109689388424158
"37",2002-10-16,0.132454313803464,0.118479613214731
"38",2002-10-24,0.139330027694989,0.147104483097792
"39",2002-11-01,0.108614446382031,0.0969970139364402
"40",2002-11-09,0.159001836834623,0.154039946695169
"41",2002-11-17,0.19353251400548,0.218961896995703
"42",2002-11-25,0.139971566386521,0.142028187712034
"43",2002-12-03,0.142133169350299,0.144246554623048
"44",2002-12-11,0.123004344861127,0.102927607794603
"45",2002-12-19,0.0915694190632729,0.0767051627238591
"46",2002-12-27,0.113937943548589,0.0891481687625249
"47",2003-01-01,0.15007891934365,0.107995577156544
"48",2003-01-09,0.120210277330544,0.09729444856445
"49",2003-01-17,0.135966656160437,0.121986627578735
"50",2003-01-25,0.128312312066555,0.0952496938407421
"51",2003-02-02,0.12028151737607,0.11576796323061
"52",2003-02-10,0.10042407280869,0.0882548751930396
"53",2003-02-18,0.108207587412623,0.09518879900376
"54",2003-02-26,0.186212717369199,0.177019965648651
"55",2003-03-06,0.109241975109196,0.0989266447722912
"56",2003-03-14,0.0998806069191131,0.0895994491875172
"57",2003-03-22,0.0941242024095522,0.0791750053564707
"58",2003-03-30,0.0930042621783084,0.0832770590980848
"59",2003-04-07,0.0857646846166858,0.0774833721419175
"60",2003-04-15,0.11888114673396,0.108939512322346
"61",2003-04-23,0.103062287678844,0.12249717861414
"62",2003-05-01,0.134084357814057,0.123555673907201
"63",2003-05-09,0.13713331003156,0.116199317077796
"64",2003-05-17,0.128684830230971,0.112870402634144
"65",2003-05-25,0.152661213185638,0.138398930430412
"66",2003-06-02,0.198434814603792,0.195931568741798
"67",2003-06-10,0.15482166595757,0.137006362279256
"68",2003-06-18,0.130839537311759,0.119816244890292
"69",2003-06-26,0.132899870093052,0.131986456612746
"70",2003-07-04,0.141115694234134,0.135034782191118
"71",2003-07-12,0.160286646750238,0.126056209206581
"72",2003-07-20,0.176922958137261,0.141686710715294
"73",2003-07-28,0.123842367994004,0.130611356347799
"74",2003-08-05,0.146755807101727,NA
"75",2003-08-13,0.13839453805445,0.112993275125821
"76",2003-08-21,0.147096267849621,0.125807000945012
"77",2003-08-29,0.188792160556962,0.156260659297307
"78",2003-09-06,0.210825018196002,0.26116306334734
"79",2003-09-14,0.252602194953296,0.237677596509457
"80",2003-09-22,0.22324584112052,0.23663292825222
"81",2003-09-30,0.191764925037407,0.168231817583243
"82",2003-10-08,0.180265794249458,0.163360526164373
"83",2003-10-16,0.145138392121428,0.136460147798061
"84",2003-10-24,0.157081600438271,0.149616861343384
"85",2003-11-01,0.190475513123804,0.191766684254011
"86",2003-11-09,0.186672937556885,0.209842930237452
"87",2003-11-17,0.178557792161074,0.18159286181132
"88",2003-11-25,0.190248000332051,0.187021094063918
"89",2003-12-03,0.19779518339783,0.195502740641435
"90",2003-12-11,0.191036852594051,0.196268456677596
"91",2003-12-19,0.186946100327704,0.150435704737902
"92",2003-12-27,0.216788232743323,0.226607563594977
"93",2004-01-01,0.207006519142952,0.238756654163202
"94",2004-01-09,0.19459091571884,0.19202350328366
"95",2004-01-17,0.185709894013902,0.162200249731541
"96",2004-01-25,0.166880265875182,0.151478379964828
"97",2004-02-02,0.214036804637802,0.193691703180472
"98",2004-02-10,0.153935200867862,0.122022370497386
"99",2004-02-18,0.184758901389109,0.165451737741629
"100",2004-02-26,0.204385065896945,0.187063795824846
"101",2004-03-05,0.214168278189997,0.234259816507498
"102",2004-03-13,0.189917710816695,0.182662909229596
"103",2004-03-21,0.174764164619976,0.161244012415409
"104",2004-03-29,0.146532436367124,0.142093819876512
"105",2004-04-06,0.145457234699279,0.133940863112609
"106",2004-04-14,0.134008106309921,0.129290076593558
"107",2004-04-22,0.146847016488512,0.143174904088179
"108",2004-04-30,0.130539752731595,0.130007815857728
"109",2004-05-08,0.206301444830994,0.187061314781507
