"","date","large","small"
"1",2002-01-01,0.102996895999409,0.0900865197181702
"2",2002-01-09,0.118424409051095,0.116876122852166
"3",2002-01-17,NA,NA
"4",2002-01-25,NA,NA
"5",2002-02-02,0.176404875378276,0.172533396631479
"6",2002-02-10,0.14343448129256,0.150495223701
"7",2002-02-18,0.108510724734515,0.104683466255665
"8",2002-02-26,0.0896834436758065,0.0813812799751759
"9",2002-03-06,0.0964401209583649,NA
"10",2002-03-14,0.0867386848567435,0.0839984975755215
"11",2002-03-22,0.0718262268713227,NA
"12",2002-03-30,0.112425600566109,0.102774020284414
"13",2002-04-07,0.0997238541191274,0.10760727028052
"14",2002-04-15,0.0997825515783065,0.0793175498644511
"15",2002-04-23,0.0738460533320904,0.0598606280982494
"16",2002-05-01,0.118298445272883,0.112031375368436
"17",2002-05-09,0.120831244112924,0.122198299815257
"18",2002-05-17,0.14644007012248,0.149824271599452
"19",2002-05-25,0.158006338722254,0.149656623601913
"20",2002-06-02,0.161024377644062,0.176839774847031
"21",2002-06-10,0.258618325740099,NA
"22",2002-06-18,0.255706792047038,0.251540171603362
"23",2002-06-26,0.226237829616576,0.231533000866572
"24",2002-07-04,0.225006418302655,0.204549935956796
"25",2002-07-12,0.231802769402075,0.232708245515823
"26",2002-07-20,0.215731499095758,0.219227574765682
"27",2002-07-28,0.185458895000743,0.184255210061868
"28",2002-08-05,0.186052814126015,0.202371795972188
"29",2002-08-13,0.1966328860783,0.183703549206257
"30",2002-08-21,0.229141328716651,0.221442654728889
"31",2002-08-29,0.222740254346156,0.198451754947503
"32",2002-09-06,0.204439920571543,0.189923450350761
"33",2002-09-14,0.118805776270373,0.114585900306702
"34",2002-09-22,0.142440660283543,0.119893601164222
"35",2002-09-30,0.120960839307137,0.122214578092098
"36",2002-10-08,0.111466305874861,0.0977799122532209
"37",2002-10-16,0.132767567038536,0.120540787776311
"38",2002-10-24,0.14742247449855,0.136511720716953
"39",2002-11-01,0.140197459338368,0.131924316287041
"40",2002-11-09,0.116100725318704,0.137352082878351
"41",2002-11-17,0.131900233361456,NA
"42",2002-11-25,0.119124366157859,0.103947536398967
"43",2002-12-03,0.118201382413055,0.115172440807025
"44",2002-12-11,0.0767102491411363,0.0751813128590584
"45",2002-12-19,0.0731976762716029,0.0781319607049227
"46",2002-12-27,0.0785756501749422,0.076078973710537
"47",2003-01-01,0.0909396829615746,0.102344751358032
"48",2003-01-09,0.0907004739923082,0.0762262552976608
"49",2003-01-17,0.0795362364037855,0.0686054875453313
"50",2003-01-25,0.0721949773009666,0.0671314261853695
"51",2003-02-02,0.0688958656615936,0.111794754862785
"52",2003-02-10,0.0861434322401617,0.0794210421542327
"53",2003-02-18,0.0749552384259239,0.0681886461873849
"54",2003-02-26,0.189960962270989,NA
"55",2003-03-06,0.0899620516413062,0.0815573620299498
"56",2003-03-14,0.0879459047242056,0.0759384594857693
"57",2003-03-22,0.094199455569129,0.0888491757214069
"58",2003-03-30,0.0914937304939039,0.0824831761419773
"59",2003-04-07,0.107861113089782,0.104298984011014
"60",2003-04-15,0.0965500769354183,0.086314828445514
"61",2003-04-23,0.107413485171689,0.0870089729626973
"62",2003-05-01,0.106409262188456,0.101127167542775
"63",2003-05-09,0.115240832669495,0.105708045264085
"64",2003-05-17,0.109931225882717,0.090323860446612
"65",2003-05-25,0.131331205456739,0.116834003478289
"66",2003-06-02,0.160761931150623,0.166363842785358
"67",2003-06-10,0.152511263167012,0.133017882704735
"68",2003-06-18,0.154209766714346,0.163937466839949
"69",2003-06-26,0.165446085629949,0.158513737221559
"70",2003-07-04,0.153264397233725,0.155975381533305
"71",2003-07-12,0.157927509935864,0.165965624153614
"72",2003-07-20,0.191700697396741,0.197744409243266
"73",2003-07-28,0.199718620199146,0.1900624781847
"74",2003-08-05,0.154993123004594,0.132795279224714
"75",2003-08-13,0.152099960555251,0.145854640007019
"76",2003-08-21,0.183328585511834,0.161085054278374
"77",2003-08-29,0.157799450104081,0.150859358410041
"78",2003-09-06,0.149171034517613,0.13472439100345
"79",2003-09-14,0.14142510888947,0.128742558260759
"80",2003-09-22,0.153169105618687,0.11565646280845
"81",2003-09-30,0.150072170332784,0.131436328093211
"82",2003-10-08,0.109633555469502,0.136614774664243
"83",2003-10-16,0.132722098380327,0.12975333010157
"84",2003-10-24,0.128117095347088,0.0907887257635593
"85",2003-11-01,0.116753687933544,0.102666530758142
"86",2003-11-09,0.0996024886013142,0.0778139581282934
"87",2003-11-17,0.116884002715526,0.106736950576305
"88",2003-11-25,0.139927961284945,0.13953189800183
"89",2003-12-03,0.143733166397,0.140439686675866
"90",2003-12-11,0.126970907939332,0.123033493757248
"91",2003-12-19,0.0913464756611782,0.0750326464573542
"92",2003-12-27,0.0850742105729209,0.0716671831905842
"93",2004-01-01,0.0677489033025322,0.0685219280421734
"94",2004-01-09,0.0721188389293894,0.0503689503918091
"95",2004-01-17,0.0977619965753612,0.0742666944861412
"96",2004-01-25,0.104742932635726,0.0897564751406511
"97",2004-02-02,0.100509320492012,0.100576846549908
"98",2004-02-10,0.0872601450731357,0.0779274677236875
"99",2004-02-18,0.0939868258155254,0.0752652275065581
"100",2004-02-26,0.0812892212554635,0.0736327258249124
"101",2004-03-05,0.0745539202891438,0.0737954489886761
"102",2004-03-13,0.0800237076345985,0.0716260547439257
"103",2004-03-21,0.0805524085488545,0.072822842746973
"104",2004-03-29,0.0822566386598807,0.0714149512350559
"105",2004-04-06,0.0738218487763899,0.0638806993762652
"106",2004-04-14,0.072963929801218,0.0561686307191849
